entry_time,exit_time,kind,direction,entry_price,exit_price,raw_return,net_return,net_pnl,bars_held,reason
2025-10-10T21:00:00+00:00,2025-10-10T21:00:00+00:00,trend,SHORT,114200.4,102631.24766462344,0.101305707645302,0.10042483928809909,10042.483928809903,0,stop
2025-10-14T06:00:00+00:00,2025-10-14T06:00:00+00:00,revert,LONG,112438.3,111501.76804941049,-0.008329296606134351,-0.009122474501536804,-1003.8597537263413,0,stop
2025-10-16T16:00:00+00:00,2025-10-17T06:00:00+00:00,trend,SHORT,108473.9,107629.60374668454,0.00778340460991489,0.006977339131571725,760.79945930955,14,stop
2025-10-17T07:00:00+00:00,2025-10-17T07:00:00+00:00,trend,SHORT,106699.1,106392.1445180304,0.002876832906459459,0.0020746919004277498,227.7999748859147,0,stop
2025-10-17T08:00:00+00:00,2025-10-17T08:00:00+00:00,trend,SHORT,105578.3,105351.81276674251,0.0021452062900945146,0.001343650468295543,147.8381305278599,0,stop
2025-10-17T09:00:00+00:00,2025-10-17T10:00:00+00:00,trend,SHORT,104845.2,104460.52614054662,0.003668969675801881,0.0028661950870965125,315.7832206791936,1,stop
2025-10-19T18:00:00+00:00,2025-10-20T00:00:00+00:00,revert,SHORT,109036.3,108143.51421839526,0.008187968425237724,0.007381579360572488,815.5969406925433,6,target
2025-10-23T07:00:00+00:00,2025-10-23T12:00:00+00:00,revert,SHORT,110180.2,108993.44622444366,0.010771025788266275,0.009962570690999817,1108.8982958041597,5,target
2025-10-23T18:00:00+00:00,2025-10-23T20:00:00+00:00,revert,SHORT,111175.6,109952.46427181331,0.01100183608801475,0.010193196379438163,1145.8716386891901,2,target
2025-10-30T05:00:00+00:00,2025-10-30T05:00:00+00:00,trend,SHORT,108503.7,109648.50861810672,-0.010550871703976172,-0.011342272694752298,-1288.0422321867227,0,stop
2025-10-30T14:00:00+00:00,2025-10-30T20:00:00+00:00,trend,SHORT,107582.2,107182.86662098227,0.0037118908055210342,0.0029090818867791857,326.61184406478424,6,stop
2025-11-03T03:00:00+00:00,2025-11-03T03:00:00+00:00,revert,LONG,108991.7,108349.49890268821,-0.005892201858598289,-0.0066873290398635765,-752.9917883564922,0,stop
