time,equity,net_return,gross_leverage,turnover,peak,drawdown
2026-02-15 00:00:00+00:00,100000.0,0.0,0.0,0.0,100000.0,0.0
2026-02-16 00:00:00+00:00,100340.43484271053,0.003404348427105297,0.4285393460487955,0.4285393460487955,100340.43484271053,0.0
2026-02-17 00:00:00+00:00,100323.23491297863,-0.00017141573841951822,0.0,0.4285393460487955,100340.43484271053,-0.0001714157384195003
2026-02-18 00:00:00+00:00,100323.23491297863,0.0,0.0,0.0,100340.43484271053,-0.0001714157384195003
2026-02-19 00:00:00+00:00,100323.23491297863,0.0,0.0,0.0,100340.43484271053,-0.0001714157384195003
2026-02-20 00:00:00+00:00,100323.23491297863,0.0,0.0,0.0,100340.43484271053,-0.0001714157384195003
2026-02-21 00:00:00+00:00,100323.23491297863,0.0,0.0,0.0,100340.43484271053,-0.0001714157384195003
2026-02-22 00:00:00+00:00,100323.23491297863,0.0,0.0,0.0,100340.43484271053,-0.0001714157384195003
2026-02-23 00:00:00+00:00,100323.23491297863,0.0,0.0,0.0,100340.43484271053,-0.0001714157384195003
2026-02-24 00:00:00+00:00,100323.23491297863,0.0,0.0,0.0,100340.43484271053,-0.0001714157384195003
2026-02-25 00:00:00+00:00,100323.23491297863,0.0,0.0,0.0,100340.43484271053,-0.0001714157384195003
2026-02-26 00:00:00+00:00,100323.23491297863,0.0,0.0,0.0,100340.43484271053,-0.0001714157384195003
2026-02-27 00:00:00+00:00,100323.23491297863,0.0,0.0,0.0,100340.43484271053,-0.0001714157384195003
2026-02-28 00:00:00+00:00,100323.23491297863,0.0,0.0,0.0,100340.43484271053,-0.0001714157384195003
2026-03-01 00:00:00+00:00,100323.23491297863,0.0,0.0,0.0,100340.43484271053,-0.0001714157384195003
2026-03-02 00:00:00+00:00,100323.23491297863,0.0,0.0,0.0,100340.43484271053,-0.0001714157384195003
2026-03-03 00:00:00+00:00,100723.5068820093,0.0039898231887945095,1.1696712866758041,1.1696712866758041,100723.5068820093,0.0
2026-03-04 00:00:00+00:00,106338.55246236896,0.055747121542713045,1.2431007176794246,0.07342943100362054,106338.55246236896,0.0
2026-03-05 00:00:00+00:00,103068.76284999755,-0.030748863292346443,1.2103171358438916,2.453417853523316,106338.55246236896,-0.030748863292346496
2026-03-06 00:00:00+00:00,98858.4503011454,-0.040849549683444626,1.0425105389151088,0.16780659692878275,106338.55246236896,-0.07034233575702098
2026-03-07 00:00:00+00:00,98817.22591062551,-0.00041700421556604354,0.0,1.0425105389151088,106338.55246236896,-0.07073000692204356
2026-03-08 00:00:00+00:00,98817.22591062551,0.0,0.0,0.0,106338.55246236896,-0.07073000692204356
2026-03-09 00:00:00+00:00,98817.22591062551,0.0,0.0,0.0,106338.55246236896,-0.07073000692204356
2026-03-10 00:00:00+00:00,100151.84360880929,0.013505921522132907,1.2942902957039057,1.2942902957039057,106338.55246236896,-0.05817935932265972
2026-03-11 00:00:00+00:00,101110.02483433651,0.00956728494454737,1.3882812718213164,2.682571567525222,106338.55246236896,-0.049168692886643495
2026-03-12 00:00:00+00:00,101053.87717278815,-0.0005553125087285266,0.0,1.3882812718213164,106338.55246236896,-0.04969670140517424
2026-03-13 00:00:00+00:00,101053.87717278815,0.0,0.0,0.0,106338.55246236896,-0.04969670140517424
2026-03-14 00:00:00+00:00,101302.05937876031,0.0024559394742251113,1.5,1.5,106338.55246236896,-0.04736281402166875
2026-03-15 00:00:00+00:00,107282.22027666794,0.059032964725309944,1.5,0.0,107282.22027666794,0.0
2026-03-16 00:00:00+00:00,120134.77539556754,0.11980135278478032,1.5,0.0,120134.77539556754,0.0
2026-03-17 00:00:00+00:00,118359.16018512685,-0.014780193366942463,0.9730854876588151,0.5269145123411849,120134.77539556754,-0.014780193366942473
2026-03-18 00:00:00+00:00,113436.1792449904,-0.041593577822251836,0.8404061601314838,0.13267932752733125,120134.77539556754,-0.055759010066158465
2026-03-19 00:00:00+00:00,113398.0462594627,-0.00033616246405259354,0.0,0.8404061601314838,120134.77539556754,-0.056076428443994075
2026-03-20 00:00:00+00:00,113398.0462594627,0.0,0.0,0.0,120134.77539556754,-0.056076428443994075
2026-03-21 00:00:00+00:00,113398.0462594627,0.0,0.0,0.0,120134.77539556754,-0.056076428443994075
2026-03-22 00:00:00+00:00,113398.0462594627,0.0,0.0,0.0,120134.77539556754,-0.056076428443994075
2026-03-23 00:00:00+00:00,113398.0462594627,0.0,0.0,0.0,120134.77539556754,-0.056076428443994075
2026-03-24 00:00:00+00:00,113398.0462594627,0.0,0.0,0.0,120134.77539556754,-0.056076428443994075
2026-03-25 00:00:00+00:00,113398.0462594627,0.0,0.0,0.0,120134.77539556754,-0.056076428443994075
2026-03-26 00:00:00+00:00,113398.0462594627,0.0,0.0,0.0,120134.77539556754,-0.056076428443994075
2026-03-27 00:00:00+00:00,113398.0462594627,0.0,0.0,0.0,120134.77539556754,-0.056076428443994075
2026-03-28 00:00:00+00:00,113398.0462594627,0.0,0.0,0.0,120134.77539556754,-0.056076428443994075
2026-03-29 00:00:00+00:00,113398.0462594627,0.0,0.0,0.0,120134.77539556754,-0.056076428443994075
2026-03-30 00:00:00+00:00,113398.0462594627,0.0,0.0,0.0,120134.77539556754,-0.056076428443994075
2026-03-31 00:00:00+00:00,113398.0462594627,0.0,0.0,0.0,120134.77539556754,-0.056076428443994075
2026-04-01 00:00:00+00:00,113398.0462594627,0.0,0.0,0.0,120134.77539556754,-0.056076428443994075
2026-04-02 00:00:00+00:00,113398.0462594627,0.0,0.0,0.0,120134.77539556754,-0.056076428443994075
2026-04-03 00:00:00+00:00,113398.0462594627,0.0,0.0,0.0,120134.77539556754,-0.056076428443994075
2026-04-04 00:00:00+00:00,113398.0462594627,0.0,0.0,0.0,120134.77539556754,-0.056076428443994075
2026-04-05 00:00:00+00:00,113398.0462594627,0.0,0.0,0.0,120134.77539556754,-0.056076428443994075
2026-04-06 00:00:00+00:00,114091.9967423841,0.006119598227764908,1.317683944866287,1.317683944866287,120134.77539556754,-0.050299995428354505
