time,equity,net_return,gross_leverage,turnover,peak,drawdown
2025-10-01 00:00:00+00:00,100000.0,0.0,0.0,0.0,100000.0,0.0
2025-10-02 00:00:00+00:00,100000.0,0.0,0.0,0.0,100000.0,0.0
2025-10-03 00:00:00+00:00,100000.0,0.0,0.0,0.0,100000.0,0.0
2025-10-04 00:00:00+00:00,100000.0,0.0,0.0,0.0,100000.0,0.0
2025-10-05 00:00:00+00:00,100000.0,0.0,0.0,0.0,100000.0,0.0
2025-10-06 00:00:00+00:00,100000.0,0.0,0.0,0.0,100000.0,0.0
2025-10-07 00:00:00+00:00,100000.0,0.0,0.0,0.0,100000.0,0.0
2025-10-08 00:00:00+00:00,100000.0,0.0,0.0,0.0,100000.0,0.0
2025-10-09 00:00:00+00:00,100000.0,0.0,0.0,0.0,100000.0,0.0
2025-10-10 00:00:00+00:00,100000.0,0.0,0.0,0.0,100000.0,0.0
2025-10-11 00:00:00+00:00,100000.0,0.0,0.0,0.0,100000.0,0.0
2025-10-12 00:00:00+00:00,100000.0,0.0,0.0,0.0,100000.0,0.0
2025-10-13 00:00:00+00:00,100000.0,0.0,0.0,0.0,100000.0,0.0
2025-10-14 00:00:00+00:00,100000.0,0.0,0.0,0.0,100000.0,0.0
2025-10-15 00:00:00+00:00,100000.0,0.0,0.0,0.0,100000.0,0.0
2025-10-16 00:00:00+00:00,100000.0,0.0,0.0,0.0,100000.0,0.0
2025-10-17 00:00:00+00:00,100000.0,0.0,0.0,0.0,100000.0,0.0
2025-10-18 00:00:00+00:00,100000.0,0.0,0.0,0.0,100000.0,0.0
2025-10-19 00:00:00+00:00,100000.0,0.0,0.0,0.0,100000.0,0.0
2025-10-20 00:00:00+00:00,100000.0,0.0,0.0,0.0,100000.0,0.0
2025-10-21 00:00:00+00:00,100000.0,0.0,0.0,0.0,100000.0,0.0
2025-10-22 00:00:00+00:00,100000.0,0.0,0.0,0.0,100000.0,0.0
2025-10-23 00:00:00+00:00,100000.0,0.0,0.0,0.0,100000.0,0.0
2025-10-24 00:00:00+00:00,100000.0,0.0,0.0,0.0,100000.0,0.0
2025-10-25 00:00:00+00:00,100000.0,0.0,0.0,0.0,100000.0,0.0
2025-10-26 00:00:00+00:00,103104.88376579677,0.031048837657967714,1.257051679298759,1.257051679298759,103104.88376579677,0.0
2025-10-27 00:00:00+00:00,103053.04049888409,-0.0005028206717195035,0.0,1.257051679298759,103104.88376579677,-0.0005028206717194728
2025-10-28 00:00:00+00:00,103053.04049888409,0.0,0.0,0.0,103104.88376579677,-0.0005028206717194728
2025-10-29 00:00:00+00:00,103053.04049888409,0.0,0.0,0.0,103104.88376579677,-0.0005028206717194728
2025-10-30 00:00:00+00:00,103053.04049888409,0.0,0.0,0.0,103104.88376579677,-0.0005028206717194728
2025-10-31 00:00:00+00:00,103053.04049888409,0.0,0.0,0.0,103104.88376579677,-0.0005028206717194728
2025-11-01 00:00:00+00:00,103053.04049888409,0.0,0.0,0.0,103104.88376579677,-0.0005028206717194728
2025-11-02 00:00:00+00:00,103053.04049888409,0.0,0.0,0.0,103104.88376579677,-0.0005028206717194728
2025-11-03 00:00:00+00:00,103053.04049888409,0.0,0.0,0.0,103104.88376579677,-0.0005028206717194728
2025-11-04 00:00:00+00:00,103053.04049888409,0.0,0.0,0.0,103104.88376579677,-0.0005028206717194728
2025-11-05 00:00:00+00:00,103053.04049888409,0.0,0.0,0.0,103104.88376579677,-0.0005028206717194728
2025-11-06 00:00:00+00:00,103053.04049888409,0.0,0.0,0.0,103104.88376579677,-0.0005028206717194728
2025-11-07 00:00:00+00:00,103053.04049888409,0.0,0.0,0.0,103104.88376579677,-0.0005028206717194728
2025-11-08 00:00:00+00:00,103053.04049888409,0.0,0.0,0.0,103104.88376579677,-0.0005028206717194728
2025-11-09 00:00:00+00:00,103053.04049888409,0.0,0.0,0.0,103104.88376579677,-0.0005028206717194728
2025-11-10 00:00:00+00:00,103053.04049888409,0.0,0.0,0.0,103104.88376579677,-0.0005028206717194728
2025-11-11 00:00:00+00:00,103053.04049888409,0.0,0.0,0.0,103104.88376579677,-0.0005028206717194728
2025-11-12 00:00:00+00:00,103053.04049888409,0.0,0.0,0.0,103104.88376579677,-0.0005028206717194728
2025-11-13 00:00:00+00:00,103053.04049888409,0.0,0.0,0.0,103104.88376579677,-0.0005028206717194728
2025-11-14 00:00:00+00:00,103053.04049888409,0.0,0.0,0.0,103104.88376579677,-0.0005028206717194728
2025-11-15 00:00:00+00:00,103053.04049888409,0.0,0.0,0.0,103104.88376579677,-0.0005028206717194728
2025-11-16 00:00:00+00:00,103053.04049888409,0.0,0.0,0.0,103104.88376579677,-0.0005028206717194728
2025-11-17 00:00:00+00:00,103053.04049888409,0.0,0.0,0.0,103104.88376579677,-0.0005028206717194728
2025-11-18 00:00:00+00:00,103053.04049888409,0.0,0.0,0.0,103104.88376579677,-0.0005028206717194728
2025-11-19 00:00:00+00:00,103053.04049888409,0.0,0.0,0.0,103104.88376579677,-0.0005028206717194728
2025-11-20 00:00:00+00:00,103053.04049888409,0.0,0.0,0.0,103104.88376579677,-0.0005028206717194728
2025-11-21 00:00:00+00:00,103053.04049888409,0.0,0.0,0.0,103104.88376579677,-0.0005028206717194728
2025-11-22 00:00:00+00:00,103053.04049888409,0.0,0.0,0.0,103104.88376579677,-0.0005028206717194728
2025-11-23 00:00:00+00:00,103053.04049888409,0.0,0.0,0.0,103104.88376579677,-0.0005028206717194728
2025-11-24 00:00:00+00:00,103053.04049888409,0.0,0.0,0.0,103104.88376579677,-0.0005028206717194728
2025-11-25 00:00:00+00:00,103053.04049888409,0.0,0.0,0.0,103104.88376579677,-0.0005028206717194728
2025-11-26 00:00:00+00:00,103053.04049888409,0.0,0.0,0.0,103104.88376579677,-0.0005028206717194728
2025-11-27 00:00:00+00:00,103053.04049888409,0.0,0.0,0.0,103104.88376579677,-0.0005028206717194728
2025-11-28 00:00:00+00:00,103053.04049888409,0.0,0.0,0.0,103104.88376579677,-0.0005028206717194728
2025-11-29 00:00:00+00:00,103053.04049888409,0.0,0.0,0.0,103104.88376579677,-0.0005028206717194728
2025-11-30 00:00:00+00:00,103053.04049888409,0.0,0.0,0.0,103104.88376579677,-0.0005028206717194728
2025-12-01 00:00:00+00:00,103053.04049888409,0.0,0.0,0.0,103104.88376579677,-0.0005028206717194728
2025-12-02 00:00:00+00:00,103053.04049888409,0.0,0.0,0.0,103104.88376579677,-0.0005028206717194728
2025-12-03 00:00:00+00:00,103053.04049888409,0.0,0.0,0.0,103104.88376579677,-0.0005028206717194728
2025-12-04 00:00:00+00:00,100703.83351654281,-0.022796095786874963,0.7737893639356184,0.7737893639356184,103104.88376579677,-0.023287454110398342
2025-12-05 00:00:00+00:00,97878.80662908847,-0.028052823699013126,0.7400179965400968,0.2425464175459741,103104.88376579677,-0.050686998964853625
2025-12-06 00:00:00+00:00,97849.83379773432,-0.00029600719861603875,0.0,0.7400179965400968,103104.88376579677,-0.05096800244689981
2025-12-07 00:00:00+00:00,97849.83379773432,0.0,0.0,0.0,103104.88376579677,-0.05096800244689981
2025-12-08 00:00:00+00:00,97849.83379773432,0.0,0.0,0.0,103104.88376579677,-0.05096800244689981
2025-12-09 00:00:00+00:00,104677.93647548705,0.06978144379751432,1.5,1.5,104677.93647548705,0.0
2025-12-10 00:00:00+00:00,104336.29255128578,-0.0032637625053037996,1.4769444527824964,0.2106959000391313,104677.93647548705,-0.003263762505303802
