time,equity,daily_return,peak,drawdown
2026-01-01 00:00:00+00:00,100637.2867838616,0.0063728678386158165,100637.2867838616,0.0
2026-01-02 00:00:00+00:00,107016.00858470806,0.06338328471181902,107016.00858470806,0.0
2026-01-03 00:00:00+00:00,107457.11899078096,0.00412191046841137,107457.11899078096,0.0
2026-01-04 00:00:00+00:00,108234.96812202041,0.007238693336885164,108234.96812202041,0.0
2026-01-05 00:00:00+00:00,121019.93200149406,0.11812230466091422,121019.93200149406,0.0
2026-01-06 00:00:00+00:00,119472.80629317115,-0.012784056995700654,121019.93200149406,-0.012784056995700621
2026-01-07 00:00:00+00:00,115415.45637504173,-0.03396044710101794,121019.93200149406,-0.04631035180537979
2026-01-08 00:00:00+00:00,114373.0171051706,-0.00903205950582336,121019.93200149406,-0.05492413345796132
2026-01-09 00:00:00+00:00,113715.76343057936,-0.005746579842226819,121019.93200149406,-0.06035508738200679
2026-01-10 00:00:00+00:00,113596.4403493151,-0.001049309943182172,121019.93200149406,-0.0613410661318774
2026-01-11 00:00:00+00:00,113576.09539484479,-0.00017909852111349555,121019.93200149406,-0.061509178558763145
2026-01-12 00:00:00+00:00,113576.09539484479,0.0,121019.93200149406,-0.061509178558763145
2026-01-13 00:00:00+00:00,114129.18576653801,0.004869778008923433,121019.93200149406,-0.05693893659493199
2026-01-14 00:00:00+00:00,115150.66284680578,0.00895018284242643,121019.93200149406,-0.048498367645883556
2026-01-15 00:00:00+00:00,110109.7969446885,-0.04377626474303104,121019.93200149406,-0.09015155500724359
2026-01-16 00:00:00+00:00,109103.87641843923,-0.009135613307456856,121019.93200149406,-0.09846357856908827
2026-01-17 00:00:00+00:00,107618.84901591817,-0.013611133272897175,121019.93200149406,-0.11073451095155507
2026-01-18 00:00:00+00:00,107554.27770650861,-0.0006000000000000001,121019.93200149406,-0.1112680702449842
2026-01-19 00:00:00+00:00,107554.27770650861,0.0,121019.93200149406,-0.1112680702449842
2026-01-20 00:00:00+00:00,107554.27770650861,0.0,121019.93200149406,-0.1112680702449842
2026-01-21 00:00:00+00:00,107554.27770650861,0.0,121019.93200149406,-0.1112680702449842
