time,equity,daily_return,core_return,unlevered_hybrid_return,peak,drawdown
2026-01-01 00:00:00+00:00,100796.60847982699,0.007966084798269771,0.0,0.0063728678386158165,100796.60847982699,0.0
2026-01-02 00:00:00+00:00,115928.61384768812,0.1501241519538783,0.12009932156310263,0.12009932156310263,115928.61384768812,0.0
2026-01-03 00:00:00+00:00,116667.0618191096,0.006369850780685617,0.005095880624548493,0.005095880624548493,116667.0618191096,0.0
2026-01-04 00:00:00+00:00,118439.05107399817,0.015188427884093044,0.012150742307274436,0.012150742307274436,118439.05107399817,0.0
2026-01-05 00:00:00+00:00,141727.0504286505,0.19662433246026664,0.15729946596821331,0.15729946596821331,141727.0504286505,0.0
2026-01-06 00:00:00+00:00,138707.30594446315,-0.021306761659501093,-0.017045409327600874,-0.017045409327600874,141727.0504286505,-0.02130676165950096
2026-01-07 00:00:00+00:00,130856.36906771039,-0.056600745168363255,-0.045280596134690605,-0.045280596134690605,141727.0504286505,-0.07670152824081189
2026-01-08 00:00:00+00:00,128886.53154748448,-0.0150534325097056,-0.01204274600776448,-0.01204274600776448,141727.0504286505,-0.09060033947175306
2026-01-09 00:00:00+00:00,127652.10364060897,-0.009577633070378034,-0.0076621064563024265,-0.0076621064563024265,141727.0504286505,-0.09931023573461906
2026-01-10 00:00:00+00:00,127614.39875051708,-0.0002953722580088267,-0.00023629780640706138,-0.00023629780640706138,141727.0504286505,-0.09957627450405537
2026-01-11 00:00:00+00:00,128429.03073153288,0.006383542836795211,0.0,0.005106834269436169,141727.0504286505,-0.09382838108108527
2026-01-12 00:00:00+00:00,129384.79642930762,0.007441975481171817,0.0,0.005953580384937453,141727.0504286505,-0.0870846741113569
2026-01-13 00:00:00+00:00,146675.0586299869,0.13363441979155707,0.10690753583324566,0.10690753583324566,146675.0586299869,0.0
2026-01-14 00:00:00+00:00,148927.28568885228,0.015355214989530165,0.012284171991624132,0.012284171991624132,148927.28568885228,0.0
2026-01-15 00:00:00+00:00,138061.4852125586,-0.07296044123838508,-0.058368352990708056,-0.058368352990708056,148927.28568885228,-0.07296044123838508
2026-01-16 00:00:00+00:00,136450.55265325832,-0.011668225622954128,-0.009334580498363302,-0.009334580498363302,148927.28568885228,-0.08377734797141934
2026-01-17 00:00:00+00:00,134100.64282519187,-0.017221695202934872,-0.013777356162347898,-0.013777356162347898,148927.28568885228,-0.09955625522268041
2026-01-18 00:00:00+00:00,132327.39881359192,-0.013223232747001011,-0.010578586197600808,-0.010578586197600808,148927.28568885228,-0.11146303243545197
2026-01-19 00:00:00+00:00,132247.79861655904,-0.0006015398001211849,-0.00048123184009694794,-0.00048123184009694794,148927.28568885228,-0.11199752278532094
2026-01-20 00:00:00+00:00,132247.79861655904,0.0,0.0,0.0,148927.28568885228,-0.11199752278532094
2026-01-21 00:00:00+00:00,132247.79861655904,0.0,0.0,0.0,148927.28568885228,-0.11199752278532094
2026-01-22 00:00:00+00:00,132247.79861655904,0.0,0.0,0.0,148927.28568885228,-0.11199752278532094
2026-01-23 00:00:00+00:00,131421.24987520557,-0.00625,0.0,-0.005,148927.28568885228,-0.11754753826791253
2026-01-24 00:00:00+00:00,131421.24987520557,0.0,0.0,0.0,148927.28568885228,-0.11754753826791253
2026-01-25 00:00:00+00:00,131421.24987520557,0.0,0.0,0.0,148927.28568885228,-0.11754753826791253
2026-01-26 00:00:00+00:00,131421.24987520557,0.0,0.0,0.0,148927.28568885228,-0.11754753826791253
2026-01-27 00:00:00+00:00,132172.63593882677,0.005717386376516034,0.0,0.004573909101212827,148927.28568885228,-0.11250221658528248
2026-01-28 00:00:00+00:00,132919.25100467587,0.005648786986397372,0.0,0.004519029589117898,148927.28568885228,-0.10748893065587284
2026-01-29 00:00:00+00:00,132919.25100467587,0.0,0.0,0.0,148927.28568885228,-0.10748893065587284
2026-01-30 00:00:00+00:00,132919.25100467587,0.0,0.0,0.0,148927.28568885228,-0.10748893065587284
2026-01-31 00:00:00+00:00,132919.25100467587,0.0,0.0,0.0,148927.28568885228,-0.10748893065587284
2026-02-01 00:00:00+00:00,132919.25100467587,0.0,0.0,0.0,148927.28568885228,-0.10748893065587284
2026-02-02 00:00:00+00:00,132919.25100467587,0.0,0.0,0.0,148927.28568885228,-0.10748893065587284
2026-02-03 00:00:00+00:00,132919.25100467587,0.0,0.0,0.0,148927.28568885228,-0.10748893065587284
2026-02-04 00:00:00+00:00,132919.25100467587,0.0,0.0,0.0,148927.28568885228,-0.10748893065587284
2026-02-05 00:00:00+00:00,132919.25100467587,0.0,0.0,0.0,148927.28568885228,-0.10748893065587284
2026-02-06 00:00:00+00:00,132919.25100467587,0.0,0.0,0.0,148927.28568885228,-0.10748893065587284
2026-02-07 00:00:00+00:00,132919.25100467587,0.0,0.0,0.0,148927.28568885228,-0.10748893065587284
2026-02-08 00:00:00+00:00,132088.50568589664,-0.00625,0.0,-0.005,148927.28568885228,-0.11306712483927372
2026-02-09 00:00:00+00:00,131262.9525253598,-0.00625,0.0,-0.005,148927.28568885228,-0.11861045530902803
2026-02-10 00:00:00+00:00,131262.9525253598,0.0,0.0,0.0,148927.28568885228,-0.11861045530902803
2026-02-11 00:00:00+00:00,131262.9525253598,0.0,0.0,0.0,148927.28568885228,-0.11861045530902803
2026-02-12 00:00:00+00:00,131262.9525253598,0.0,0.0,0.0,148927.28568885228,-0.11861045530902803
2026-02-13 00:00:00+00:00,130442.55907207631,-0.00625,0.0,-0.005,148927.28568885228,-0.12411913996334667
2026-02-14 00:00:00+00:00,131374.0264498723,0.007140824163694051,0.0,0.005712659330955241,148927.28568885228,-0.1178646287534797
2026-02-15 00:00:00+00:00,132255.35745041943,0.0067085635141391235,0.0,0.005366850811311299,148927.28568885228,-0.11194676758740396
2026-02-16 00:00:00+00:00,131428.7614663543,-0.00625,0.0,-0.005,148927.28568885228,-0.11749710028998261
2026-02-17 00:00:00+00:00,131428.7614663543,0.0,0.0,0.0,148927.28568885228,-0.11749710028998261
2026-02-18 00:00:00+00:00,131428.7614663543,0.0,0.0,0.0,148927.28568885228,-0.11749710028998261
2026-02-19 00:00:00+00:00,131428.7614663543,0.0,0.0,0.0,148927.28568885228,-0.11749710028998261
2026-02-20 00:00:00+00:00,132343.58074898281,0.006960571433694165,0.0,0.005568457146955332,148927.28568885228,-0.11135437581610885
2026-02-21 00:00:00+00:00,133069.43109330512,0.005484590489500288,0.0,0.00438767239160023,148927.28568885228,-0.10648051847717377
2026-02-22 00:00:00+00:00,133835.71096485254,0.005758496637820079,0.0,0.004606797310256063,148927.28568885228,-0.10133518954699783
2026-02-23 00:00:00+00:00,133835.71096485254,0.0,0.0,0.0,148927.28568885228,-0.10133518954699783
2026-02-24 00:00:00+00:00,133835.71096485254,0.0,0.0,0.0,148927.28568885228,-0.10133518954699783
2026-02-25 00:00:00+00:00,138356.8806559566,0.03378148969740524,0.0,0.027025191757924196,148927.28568885228,-0.07097695351125921
2026-02-26 00:00:00+00:00,137492.15015185688,-0.00625,0.0,-0.005,148927.28568885228,-0.07678334755181371
2026-02-27 00:00:00+00:00,138328.5318147369,0.006083123014341166,0.0,0.0048664984114729325,148927.28568885228,-0.0711673070860831
2026-02-28 00:00:00+00:00,138328.5318147369,0.0,0.0,0.0,148927.28568885228,-0.0711673070860831
2026-03-01 00:00:00+00:00,138328.5318147369,0.0,0.0,0.0,148927.28568885228,-0.0711673070860831
2026-03-02 00:00:00+00:00,139720.42757065617,0.010062246289026137,0.0,0.008049797031220909,148927.28568885228,-0.06182116376868385
2026-03-03 00:00:00+00:00,138847.17489833958,-0.00625,0.0,-0.005,148927.28568885228,-0.06768478149512958
2026-03-04 00:00:00+00:00,137979.38005522496,-0.00625,0.0,-0.005,148927.28568885228,-0.07351175161078494
2026-03-05 00:00:00+00:00,130596.76797358914,-0.05350518373601191,-0.04280414698880953,-0.04280414698880953,148927.28568885228,-0.12308367557010569
2026-03-06 00:00:00+00:00,119714.96474775551,-0.08332367940402839,-0.06665894352322271,-0.06665894352322271,148927.28568885228,-0.19615157025106122
2026-03-07 00:00:00+00:00,119628.81081876835,-0.000719658809311725,-0.00057572704744938,-0.00057572704744938,148927.28568885228,-0.19673006685488137
2026-03-08 00:00:00+00:00,119628.81081876835,0.0,0.0,0.0,148927.28568885228,-0.19673006685488137
2026-03-09 00:00:00+00:00,118881.13075115105,-0.00625,0.0,-0.005,148927.28568885228,-0.2017505039370383
2026-03-10 00:00:00+00:00,119714.23616652828,0.007007886029626767,0.0,0.0056063088237014135,148927.28568885228,-0.19615646244542206
2026-03-11 00:00:00+00:00,121223.38391524725,0.012606251328536166,0.010085001062828933,0.010085001062828933,148927.28568885228,-0.18602300878218958
2026-03-12 00:00:00+00:00,122296.99376411409,0.008856458334948303,0.007085166667958642,0.007085166667958642,148927.28568885228,-0.17881405547386242
