time,equity,daily_return,core_return,unlevered_hybrid_return,peak,drawdown
2026-01-01 00:00:00+00:00,100815.72708334283,0.008157270833428246,0.0,0.0063728678386158165,100815.72708334283,0.0
2026-01-02 00:00:00+00:00,116313.83962811132,0.15372713160077137,0.12009932156310263,0.12009932156310263,116313.83962811132,0.0
2026-01-03 00:00:00+00:00,117072.52307352283,0.006522727199422072,0.005095880624548493,0.005095880624548493,117072.52307352283,0.0
2026-01-04 00:00:00+00:00,118893.34618920773,0.015552950153311278,0.012150742307274436,0.012150742307274436,118893.34618920773,0.0
2026-01-05 00:00:00+00:00,142831.72681351018,0.20134331643931305,0.15729946596821331,0.15729946596821331,142831.72681351018,0.0
2026-01-06 00:00:00+00:00,139715.4064954246,-0.02181812393932912,-0.017045409327600874,-0.017045409327600874,142831.72681351018,-0.021818123939329248
2026-01-07 00:00:00+00:00,131617.61846942338,-0.05795916305240398,-0.045280596134690605,-0.045280596134690605,142831.72681351018,-0.07851272678883603
2026-01-08 00:00:00+00:00,129588.7704062245,-0.015414714889938536,-0.01204274600776448,-0.01204274600776448,142831.72681351018,-0.09271719038009307
2026-01-09 00:00:00+00:00,128317.8290246004,-0.009807496264067106,-0.0076621064563024265,-0.0076621064563024265,142831.72681351018,-0.1016153631458927
2026-01-10 00:00:00+00:00,128279.01786105298,-0.0003024611922010386,-0.00023629780640706138,-0.00023629780640706138,142831.72681351018,-0.10188708963421056
2026-01-11 00:00:00+00:00,128279.01786105298,0.0,0.0,0.0,142831.72681351018,-0.10188708963421056
2026-01-12 00:00:00+00:00,128279.01786105298,0.0,0.0,0.0,142831.72681351018,-0.10188708963421056
2026-01-13 00:00:00+00:00,145832.9297953046,0.13684164586655445,0.10690753583324566,0.10690753583324566,145832.9297953046,0.0
2026-01-14 00:00:00+00:00,148125.968888614,0.015723740149278888,0.012284171991624132,0.012284171991624132,148125.968888614,0.0
2026-01-15 00:00:00+00:00,137059.25677446197,-0.07471149182810631,-0.058368352990708056,-0.058368352990708056,148125.968888614,-0.07471149182810644
2026-01-16 00:00:00+00:00,135421.63672274092,-0.011948263037905027,-0.009334580498363302,-0.009334580498363302,148125.968888614,-0.0857670823096951
2026-01-17 00:00:00+00:00,133033.4740075828,-0.01763501588780531,-0.013777356162347898,-0.013777356162347898,148125.968888614,-0.10188959433831812
2026-01-18 00:00:00+00:00,131232.12223547976,-0.013540590332929035,-0.010578586197600808,-0.010578586197600808,148125.968888614,-0.11405053941512355
2026-01-19 00:00:00+00:00,131151.28629863085,-0.0006159767553240934,-0.00048123184009694794,-0.00048123184009694794,148125.968888614,-0.11459626368923592
2026-01-20 00:00:00+00:00,131151.28629863085,0.0,0.0,0.0,148125.968888614,-0.11459626368923592
2026-01-21 00:00:00+00:00,131151.28629863085,0.0,0.0,0.0,148125.968888614,-0.11459626368923592
