timeframe,lookback_fast,lookback_slow,top_n,vol_window,target_vol_ann,regime_threshold,breadth_threshold,gross_cap,fee_rate,train_total_return,train_sharpe,train_max_drawdown,train_active_ratio,train_monthly_hit,train_score
1d,7,10,1,5,0.6,0.0,0.5,1.5,0.0004,-0.20710663728677614,-2.571102890978608,-0.2428959329822754,0.23655913978494625,0.0,-43.550258608633264
1d,5,14,2,5,0.8,0.02,0.5,1.5,0.0004,-0.15690550671187675,-4.25121221636347,-0.15690550671187675,0.08602150537634409,0.0,-43.66327353353411
1d,7,10,1,5,1.0,0.0,0.5,1.5,0.0004,-0.2128026096628961,-2.269431782828638,-0.2703477220059006,0.23655913978494625,0.0,-43.84683081155854
1d,5,14,1,10,0.8,0.02,0.5,1.5,0.0004,-0.15928706574426177,-4.259714979603357,-0.15928706574426177,0.08602150537634409,0.0,-44.05111340942937
1d,7,10,1,10,0.6,0.0,0.5,1.5,0.0004,-0.19792877794078445,-2.914118684660772,-0.23792689121014687,0.23655913978494625,0.0,-44.12394476269913
1d,5,14,1,5,0.8,0.02,0.5,1.5,0.0004,-0.16390166652330795,-4.153358041049684,-0.16390166652330795,0.08602150537634409,0.0,-44.1884458296227
1d,7,10,1,5,0.8,0.0,0.5,1.5,0.0004,-0.21365826323453962,-2.4123239357839865,-0.26044049046603834,0.23655913978494625,0.0,-44.20103151420584
1d,5,14,2,5,1.0,0.02,0.5,1.5,0.0004,-0.1702904640775984,-4.212394765761139,-0.1702904640775984,0.08602150537634409,0.0,-45.410005098552084
1d,5,14,2,10,0.8,0.02,0.5,1.5,0.0004,-0.17901279424356686,-4.165873699972017,-0.17901279424356686,0.08602150537634409,0.0,-46.4421376436719
1d,5,14,1,5,1.0,0.02,0.5,1.5,0.0004,-0.18256873805464535,-4.0989221606513775,-0.18256873805464535,0.08602150537634409,0.0,-46.62299179967509
1d,7,10,1,10,0.8,0.0,0.5,1.5,0.0004,-0.22061797317290077,-2.7348587733512386,-0.27178351244318144,0.23655913978494625,0.0,-47.02011268484966
1d,3,10,1,5,0.6,0.0,0.5,1.5,0.0004,-0.238546883667885,-2.6731717162334836,-0.2508314200935413,0.24731182795698925,0.0,-47.518713540337316
1d,5,14,2,10,1.0,0.02,0.5,1.5,0.0004,-0.18561518596519755,-4.223093749952851,-0.18561518596519755,0.08602150537634409,0.0,-47.68558469321252
1d,7,10,1,10,1.0,0.0,0.5,1.5,0.0004,-0.22921345679022964,-2.563726596337842,-0.28692601855763467,0.23655913978494625,0.0,-47.70541293666595
1d,7,10,2,5,0.8,0.0,0.5,1.5,0.0004,-0.22836775743896676,-2.6724710124111968,-0.27918967156206187,0.23655913978494625,0.0,-47.816429467105664
1d,5,14,1,10,1.0,0.02,0.5,1.5,0.0004,-0.19059624966987632,-4.169378504652314,-0.19059624966987632,0.08602150537634409,0.0,-48.13926270388826
1d,7,10,2,5,0.6,0.0,0.5,1.5,0.0004,-0.22932014797522238,-2.8397973841954243,-0.27284521465575584,0.23655913978494625,0.0,-48.46279981886859
1d,5,10,1,10,0.6,0.02,0.5,1.5,0.0004,-0.19228842165825233,-4.359960404171139,-0.19228842165825233,0.10752688172043011,0.0,-49.25151563442057
1d,3,10,1,10,0.8,0.0,0.5,1.5,0.0004,-0.25103218740844924,-2.5745529883935747,-0.2750087495438248,0.24731182795698925,0.0,-49.36213010045695
1d,7,10,2,10,0.6,0.0,0.5,1.5,0.0004,-0.23285640390272733,-2.9463227440870394,-0.2790741093457435,0.23655913978494625,0.0,-49.629352472126605
1d,7,10,2,5,1.0,0.0,0.5,1.5,0.0004,-0.2385334279536876,-2.7487199112764276,-0.2891164278540167,0.23655913978494625,0.0,-49.66094504604187
1d,7,10,2,10,0.8,0.0,0.5,1.5,0.0004,-0.24552257994819915,-2.819891055730091,-0.29578761386425534,0.23655913978494625,0.0,-51.015919338222076
1d,7,10,2,10,1.0,0.0,0.5,1.5,0.0004,-0.24731629643770148,-2.8157378932185346,-0.29746182880502425,0.23655913978494625,0.0,-51.24986484694912
1d,3,10,1,5,1.0,0.0,0.5,1.5,0.0004,-0.27160261640905825,-2.393502921592532,-0.2932395113157681,0.24731182795698925,0.0,-51.33430694625009
1d,3,10,1,10,1.0,0.0,0.5,1.5,0.0004,-0.2700606173721659,-2.4210981886530307,-0.294055172566824,0.24731182795698925,0.0,-51.35478813416086
1d,3,10,1,5,0.8,0.0,0.5,1.5,0.0004,-0.2788318472116069,-2.642745853819215,-0.2939891809052495,0.24731182795698925,0.0,-53.33717981916504
1d,5,10,1,5,0.6,0.02,0.5,1.5,0.0004,-0.21539738046548906,-4.686098305526421,-0.21539738046548906,0.10752688172043011,0.0,-54.2330041682463
1d,5,10,1,10,0.8,0.02,0.5,1.5,0.0004,-0.22897855255820465,-4.512604071309316,-0.22897855255820465,0.10752688172043011,0.0,-55.334802950604534
1d,3,10,2,5,0.8,0.0,0.5,1.5,0.0004,-0.29818988201664975,-3.000394426205303,-0.3165783108149589,0.24731182795698925,0.0,-58.07773700753668
1d,3,10,2,5,1.0,0.0,0.5,1.5,0.0004,-0.3027553967296963,-2.979471633283898,-0.32144074509415044,0.24731182795698925,0.0,-58.64848405679793
1d,5,10,2,10,0.6,0.02,0.5,1.5,0.0004,-0.24691400351088366,-4.6623935859974805,-0.24691400351088366,0.10752688172043011,0.0,-58.68439091218381
1d,5,10,1,10,0.6,0.0,0.5,1.5,0.0004,-0.24213333393560543,-4.578203841181427,-0.2799270309523022,0.24731182795698925,0.0,-58.711821680493316
1d,5,10,2,5,0.6,0.02,0.5,1.5,0.0004,-0.24801564603999404,-4.723101160818045,-0.24801564603999404,0.10752688172043011,0.0,-59.147666953007636
1d,5,10,1,5,0.8,0.02,0.5,1.5,0.0004,-0.24873688319280307,-4.743601454945994,-0.24873688319280307,0.10752688172043011,0.0,-59.354747810804696
1d,3,10,2,10,0.6,0.0,0.5,1.5,0.0004,-0.30179446475531335,-3.341233437113898,-0.32134276180457566,0.24731182795698925,0.0,-60.35679063047877
1d,5,10,2,5,0.8,0.02,0.5,1.5,0.0004,-0.2582349653621949,-4.674667048638957,-0.2582349653621949,0.10752688172043011,0.0,-60.387297693831336
1d,5,10,1,5,1.0,0.02,0.5,1.5,0.0004,-0.2597619109015171,-4.630896941476683,-0.2597619109015171,0.10752688172043011,0.0,-60.389854261221686
1d,3,10,2,5,0.6,0.0,0.5,1.5,0.0004,-0.3093135872787418,-3.2931605490033995,-0.31687837367602056,0.24731182795698925,0.0,-60.667440976484144
1d,5,10,1,10,1.0,0.02,0.5,1.5,0.0004,-0.2604090881913693,-4.670963391238102,-0.2604090881913693,0.10752688172043011,0.0,-60.68402721705734
1d,3,10,2,10,1.0,0.0,0.5,1.5,0.0004,-0.3181892412566555,-3.0638272667282336,-0.33651662418366834,0.24731182795698925,0.0,-61.29206123574383
1d,3,10,2,10,0.8,0.0,0.5,1.5,0.0004,-0.317866677123538,-3.1816027962118376,-0.3362307742738022,0.24731182795698925,0.0,-61.83581922390613
1d,5,10,2,5,1.0,0.02,0.5,1.5,0.0004,-0.2707446713881807,-4.750781135058986,-0.2707446713881807,0.10752688172043011,0.0,-62.58177549969941
1d,5,10,2,10,0.8,0.02,0.5,1.5,0.0004,-0.27425032665253735,-4.775109415853286,-0.27425032665253735,0.10752688172043011,0.0,-63.211736917002625
1d,5,10,2,10,1.0,0.02,0.5,1.5,0.0004,-0.28038929625647624,-4.835490301561023,-0.28038929625647624,0.10752688172043011,0.0,-64.40379193811245
1d,5,10,1,10,0.8,0.0,0.5,1.5,0.0004,-0.2848862603222838,-4.508874245964925,-0.3318326599963354,0.24731182795698925,0.0,-64.97621965006014
1d,5,10,1,5,0.6,0.0,0.5,1.5,0.0004,-0.286711152221665,-5.167210072752148,-0.31890729194225165,0.24731182795698925,0.0,-67.86874641150061
1d,5,10,2,10,0.6,0.0,0.5,1.5,0.0004,-0.30057502363788724,-4.777647988958794,-0.34048588520874223,0.24731182795698925,0.0,-68.27835983114814
1d,5,10,1,10,1.0,0.0,0.5,1.5,0.0004,-0.3098924366204351,-4.504490520819172,-0.36156416821533566,0.24731182795698925,0.0,-68.79283652400152
1d,5,10,1,5,1.0,0.0,0.5,1.5,0.0004,-0.31328795499048234,-4.5773905648369135,-0.3634874630966317,0.24731182795698925,0.0,-69.58343685075327
1d,5,10,2,5,0.8,0.0,0.5,1.5,0.0004,-0.31661757502314136,-4.753286568785287,-0.3617527321200661,0.24731182795698925,0.0,-70.7178159798156
1d,5,10,1,5,0.8,0.0,0.5,1.5,0.0004,-0.3132930773042004,-4.95762887616509,-0.35414768007670994,0.24731182795698925,0.0,-71.06485040286948
1d,5,10,2,10,0.8,0.0,0.5,1.5,0.0004,-0.3219992847326507,-4.694760077051518,-0.36803595988484306,0.24731182795698925,0.0,-71.24609974151265
1d,5,10,2,5,1.0,0.0,0.5,1.5,0.0004,-0.32521810211073154,-4.771705334783212,-0.3704266832451629,0.24731182795698925,0.0,-72.06029031919358
1d,5,10,2,10,1.0,0.0,0.5,1.5,0.0004,-0.32726929529530857,-4.738558647157885,-0.37294813341450295,0.24731182795698925,0.0,-72.21314145714496
1d,5,10,2,5,0.6,0.0,0.5,1.5,0.0004,-0.31883936298643867,-5.129469827614165,-0.3539419931230945,0.24731182795698925,0.0,-72.469427815426
