timeframe,lookback_fast,lookback_slow,top_n,vol_window,target_vol_ann,regime_threshold,breadth_threshold,gross_cap,fee_rate,train_total_return,train_sharpe,train_max_drawdown,train_active_ratio,train_monthly_hit,train_score
1d,7,14,2,5,0.8,0.02,0.5,1.5,0.0004,0.013336989839139335,0.358283354421822,-0.10251540266084902,0.08602150537634409,0.0,-1.143991342209786
1d,3,14,1,10,1.0,0.02,0.5,1.5,0.0004,0.006599227753786963,0.22517654489284586,-0.09345708599968938,0.053763440860215055,0.0,-2.2047096067022367
1d,3,14,2,10,0.8,0.02,0.5,1.5,0.0004,0.002880577056748379,0.155695030319334,-0.09247949771702713,0.053763440860215055,0.0,-2.8799907765538535
1d,7,10,2,5,0.8,0.05,0.5,1.5,0.0004,-0.00772951392652288,-0.17810825205003752,-0.032111163925658937,0.043010752688172046,0.0,-2.93645201880444
1d,7,10,2,10,0.6,0.05,0.5,1.5,0.0004,-0.009892934721602242,-0.24761843439196915,-0.033414693010450525,0.043010752688172046,0.0,-3.5590038188376556
1d,7,10,2,5,1.0,0.05,0.5,1.5,0.0004,-0.011762679613358307,-0.2719413470171543,-0.03273867093767269,0.043010752688172046,0.0,-3.8371718778641846
1d,7,10,1,10,0.6,0.05,0.5,1.5,0.0004,-0.009422631997789477,-0.5396667706371748,-0.01992694851643606,0.043010752688172046,0.0,-4.3652667254517565
1d,3,14,2,10,1.0,0.02,0.5,1.5,0.0004,-0.004425741336531619,0.021655351713644244,-0.09899389059682762,0.053763440860215055,0.0,-4.573968688501323
1d,7,10,1,5,1.0,0.05,0.5,1.5,0.0004,-0.011230690562327839,-0.49927766500174264,-0.025464078802712176,0.043010752688172046,0.0,-4.593297916610857
1d,7,10,1,10,0.8,0.05,0.5,1.5,0.0004,-0.011693226308352345,-0.49551692726153096,-0.025464078802712176,0.043010752688172046,0.0,-4.620747802512249
1d,7,10,2,10,0.8,0.05,0.5,1.5,0.0004,-0.015135935126656452,-0.3592866011293515,-0.03481107174075304,0.043010752688172046,0.0,-4.7044817358936015
1d,7,10,2,5,0.6,0.05,0.5,1.5,0.0004,-0.01334047190438059,-0.47490082765997677,-0.031880409622239814,0.043010752688172046,0.0,-4.971126750986047
1d,7,14,2,5,1.0,0.02,0.5,1.5,0.0004,-0.003117855401073566,0.044167273930002034,-0.11708900483147033,0.08602150537634409,0.0,-5.015868366368135
1d,7,10,2,10,1.0,0.05,0.5,1.5,0.0004,-0.01895618858563375,-0.45237708359673423,-0.03855500602900763,0.043010752688172046,0.0,-5.720436537099701
1d,7,10,1,10,1.0,0.05,0.5,1.5,0.0004,-0.01589297525076716,-0.6472947314140476,-0.025464078802712176,0.043010752688172046,0.0,-5.7996117175163135
1d,7,10,1,5,0.8,0.05,0.5,1.5,0.0004,-0.013990844177798833,-0.7612243770022874,-0.025464078802712176,0.043010752688172046,0.0,-6.17904683816068
1d,7,14,2,10,0.8,0.02,0.5,1.5,0.0004,-0.009114383246360047,-0.06376296264549436,-0.12254389900662577,0.08602150537634409,0.0,-6.40064257165626
1d,7,14,2,10,0.6,0.02,0.5,1.5,0.0004,-0.012313968667312492,-0.19508746703772636,-0.10478020365170426,0.08602150537634409,0.0,-6.577857344741197
1d,7,14,2,10,1.0,0.02,0.5,1.5,0.0004,-0.012339588873312213,-0.11904243157808543,-0.12605059782083639,0.08602150537634409,0.0,-7.15736192565391
1d,7,10,1,5,0.6,0.05,0.5,1.5,0.0004,-0.015218163497022652,-1.0241113357596792,-0.023901889813744748,0.043010752688172046,0.0,-7.545915059366486
