selection_date,apply_until,score,lookback_fast,lookback_slow,top_n,vol_window,target_vol_ann,regime_threshold,train_return,train_max_drawdown,val_return,val_max_drawdown,val_active_ratio
2026-02-15,2026-02-28,0.3509125766951091,3,10,1,10,0.6,0.02,0.08810343340868232,-0.07895869586606907,0.0,0.0,0.0
2026-03-01,2026-03-14,15.981828149674504,7,14,1,5,0.8,0.02,0.10132604961012603,-0.17911436640953993,0.022685302030016175,-0.0006000000000000449,0.03333333333333333
2026-03-15,2026-03-28,8.8596514829934,7,14,1,5,0.6,0.02,0.014712224734386492,-0.15618953444442563,0.031365331997350365,-0.05328844595913129,0.26666666666666666
2026-03-29,2026-04-06,24.805284425649894,7,14,1,5,0.6,0.02,0.03773127802603571,-0.15618953444442563,0.12890608147090088,-0.056076428443994075,0.36666666666666664
